[rosmaster.main][INFO] 2019-03-18 14:55:50,147: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-03-18 14:55:50,147: Starting ROS Master Node
[xmlrpc][INFO] 2019-03-18 14:55:50,149: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2019-03-18 14:55:50,150: Master initialized: port[11311], uri[http://chiliPC:11311/]
[xmlrpc][INFO] 2019-03-18 14:55:50,149: Started XML-RPC server [http://chiliPC:11311/]
[xmlrpc][INFO] 2019-03-18 14:55:50,150: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-03-18 14:55:50,251: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,253: +PARAM [/roslaunch/uris/host_chilipc__33015] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,324: +PARAM [/cellulo_node_00_06_66_D2_CF_7B/scale_coord] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,324: +PARAM [/sensor_node_00_06_66_D2_CF_7B/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,324: +PARAM [/aggregation_node_00_06_66_E7_8A_D6/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,325: +PARAM [/cellulo_node_00_06_66_E7_8E_BD/scale_coord] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,325: +PARAM [/sensor_node_00_06_66_E7_8E_BD/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,325: +PARAM [/sensor_node_00_06_66_E7_8E_BD/paper_width] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,325: +PARAM [/sensor_node_00_06_66_E7_8A_D6/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,326: +PARAM [/sensor_node_00_06_66_D2_CF_7B/cellulo_num] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,326: +PARAM [/cellulo_node_00_06_66_E7_8A_D6/scale_coord] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,326: +PARAM [/aggregation_node_00_06_66_E7_8E_BD/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:55:50,326: +PARAM [/sensor_node_00_06_66_E7_8A_D6/paper_length] by /roslaunch
