[rosmaster.main][INFO] 2019-03-18 14:23:20,865: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2019-03-18 14:23:20,865: Starting ROS Master Node
[xmlrpc][INFO] 2019-03-18 14:23:20,867: XML-RPC server binding to 0.0.0.0:11311
[xmlrpc][INFO] 2019-03-18 14:23:20,867: Started XML-RPC server [http://chiliPC:11311/]
[rosmaster.master][INFO] 2019-03-18 14:23:20,867: Master initialized: port[11311], uri[http://chiliPC:11311/]
[xmlrpc][INFO] 2019-03-18 14:23:20,868: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2019-03-18 14:23:20,968: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:20,971: +PARAM [/roslaunch/uris/host_chilipc__34783] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,043: +PARAM [/cellulo_node_00_06_66_D2_CF_7B/scale_coord] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,044: +PARAM [/sensor_node_00_06_66_D2_CF_7B/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,044: +PARAM [/aggregation_node_00_06_66_E7_8A_D6/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,044: +PARAM [/cellulo_node_00_06_66_E7_8E_BD/scale_coord] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,044: +PARAM [/sensor_node_00_06_66_E7_8E_BD/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,044: +PARAM [/sensor_node_00_06_66_E7_8E_BD/paper_width] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,044: +PARAM [/sensor_node_00_06_66_E7_8A_D6/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,044: +PARAM [/sensor_node_00_06_66_D2_CF_7B/cellulo_num] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,045: +PARAM [/cellulo_node_00_06_66_E7_8A_D6/scale_coord] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,045: +PARAM [/aggregation_node_00_06_66_E7_8E_BD/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,045: +PARAM [/sensor_node_00_06_66_E7_8A_D6/paper_length] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,045: +PARAM [/sensor_node_00_06_66_D2_CF_7B/threshold] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,045: +PARAM [/sensor_node_00_06_66_E7_8A_D6/paper_width] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,045: +PARAM [/aggregation_node_00_06_66_E7_8E_BD/thetaDis] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,045: +PARAM [/sensor_node_00_06_66_E7_8A_D6/cellulo_num] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,046: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,046: +PARAM [/rosversion] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,046: +PARAM [/sensor_node_00_06_66_E7_8E_BD/threshold] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,046: +PARAM [/sensor_node_00_06_66_E7_8E_BD/cellulo_num] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,046: +PARAM [/sensor_node_00_06_66_E7_8A_D6/threshold] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,046: +PARAM [/aggregation_node_00_06_66_E7_8A_D6/thetaDis] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,046: +PARAM [/aggregation_node_00_06_66_D2_CF_7B/scale] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,047: +PARAM [/sensor_node_00_06_66_D2_CF_7B/paper_length] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,047: +PARAM [/sensor_node_00_06_66_D2_CF_7B/paper_width] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,047: +PARAM [/sensor_node_00_06_66_E7_8E_BD/paper_length] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:21,047: +PARAM [/aggregation_node_00_06_66_D2_CF_7B/thetaDis] by /roslaunch
[rosmaster.master][INFO] 2019-03-18 14:23:22,020: +PUB [/rosout] /tf_echo_00_06_66_E7_8A_D6 http://chiliPC:46111/
[rosmaster.master][INFO] 2019-03-18 14:23:22,020: +PUB [/rosout] /tf_echo_00_06_66_D2_CF_7B http://chiliPC:45041/
[rosmaster.master][INFO] 2019-03-18 14:23:22,021: +PUB [/rosout] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:39497/
[rosmaster.master][INFO] 2019-03-18 14:23:22,022: +SERVICE [/rosout/get_loggers] /rosout http://chiliPC:38217/
[rosmaster.master][INFO] 2019-03-18 14:23:22,023: +PUB [/rosout] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:42481/
[rosmaster.master][INFO] 2019-03-18 14:23:22,023: +PUB [/rosout] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:41979/
[rosmaster.master][INFO] 2019-03-18 14:23:22,024: +PUB [/rosout] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:40679/
[rosmaster.master][INFO] 2019-03-18 14:23:22,025: +PUB [/rosout] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:43265/
